City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sungai Padi,TH,73.49,overcast clouds,6.0851,101.8766,บ้าน​ลูกบอลกับลูกบาส
6,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
7,Arraial Do Cabo,BR,73.36,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
10,San Pedro De Macoris,DO,80.73,clear sky,18.4616,-69.2972,Apartahotel Guaraguao
11,Cheney,US,75.13,clear sky,47.4874,-117.5758,"Holiday Inn Express & Suites Cheney, an IHG Hotel"
16,Pemberton,CA,78.21,overcast clouds,50.3164,-122.8027,Pemberton Valley Lodge
17,Butaritari,KI,81.79,light rain,3.0707,172.7902,Isles Sunset Lodge
20,Kapaa,US,84.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
21,Faanui,PF,78.01,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
30,Cabo San Lucas,MX,83.5,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
31,Honiara,SB,86.54,scattered clouds,-9.4333,159.95,Heritage Park Hotel
33,Ponta Do Sol,PT,74.01,light rain,32.6667,-17.1,Hotel do Campo
34,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
35,South Yuba City,US,80.1,clear sky,39.1166,-121.6391,Bonanza Inn & Suites Yuba City
46,Nhulunbuy,AU,84.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
48,Tomatlan,MX,81.37,moderate rain,19.9333,-105.25,El Salvial
49,Hilo,US,92.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
52,Kokopo,PG,84.02,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
58,Bourail,NC,79.95,broken clouds,-21.5667,165.4833,Motel Allamanda
64,Mosetse,BW,74.37,overcast clouds,-20.75,26.65,
66,Boca Do Acre,BR,79.95,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
71,Dicabisagan,PH,79.75,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
74,Victoria,HK,73.45,overcast clouds,22.2855,114.1577,Mini Central
75,Tarakan,ID,78.3,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
82,Brumado,BR,77.61,scattered clouds,-14.2036,-41.6653,Hotel São Lázaro
86,Taoudenni,ML,86.88,scattered clouds,22.6783,-3.9836,
90,Georgetown,MY,79.23,few clouds,5.4112,100.3354,Cititel Penang
96,Kavieng,PG,82.99,light rain,-2.5744,150.7967,Nusa Island Retreat
97,Turan,VN,80.58,broken clouds,16.0678,108.2208,Grand Mercure Danang
99,Kidal,ML,83.03,broken clouds,18.4411,1.4078,
100,Tefe,BR,82.51,scattered clouds,-3.3542,-64.7114,Aracati Hotel
102,Iquitos,PE,82.44,moderate rain,-3.7481,-73.2472,Cortez Malaga Techy Caroly
106,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
107,Mairi,BR,73.54,few clouds,-11.7114,-40.1489,Pousada Solar do Monte
108,Hithadhoo,MV,80.85,overcast clouds,-0.6,73.0833,Scoop Guest House
110,Maicao,CO,80.69,broken clouds,11.3832,-72.2432,Hotel Sancho
114,Bengkulu,ID,74.88,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
122,Kahului,US,89.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
129,Islamkot,PK,79.86,clear sky,24.6997,70.177,Pizza point islamkot
131,Matara,LK,76.12,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
132,Atuona,PF,76.95,scattered clouds,-9.8,-139.0333,Villa Enata
134,Bandarbeyla,SO,76.89,clear sky,9.4942,50.8122,JABIR HOTEL
138,Itupiranga,BR,82.72,broken clouds,-5.1347,-49.3267,Hotel Panorama
139,Luanda,AO,75.2,few clouds,-8.8368,13.2343,EPIC SANA Luanda
140,Dingle,PH,77.09,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
144,Nha Trang,VN,73.4,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
155,Belmonte,BR,74.43,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
156,Kieta,PG,82.92,light rain,-6.2167,155.6333,Uruna Bay Retreat
161,Pacific Grove,US,75.54,clear sky,36.6177,-121.9166,Lovers Point Inn
163,Aflao,TG,79.12,broken clouds,6.116,1.1914,Hotel LeBenin
166,Kavaratti,IN,78.75,overcast clouds,10.5669,72.642,Green leaf
177,Tarut,SA,75.4,broken clouds,26.5733,50.0369,سطحة لسحب ونقل السيارات
186,Salalah,OM,75.87,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
187,Pandan Niog,PH,82.09,light rain,6.2282,120.5631,
189,San Cristobal,VE,75.38,moderate rain,7.7669,-72.225,Pirineos
200,Bubaque,GW,81.05,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
202,Envira,BR,75.42,overcast clouds,-7.3,-70.2167,
211,Prainha,BR,80.85,broken clouds,-1.8,-53.48,Casa Rocha
215,Tabou,CI,76.15,light rain,4.423,-7.3528,hotêl doufoulougou
219,La Orilla,MX,83.21,light rain,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
221,Jega,NG,80.56,clear sky,12.2175,4.3792,ALH. Nasiru Ibrahim
222,Puerto Leguizamo,CO,77.23,heavy intensity rain,-0.1934,-74.7819,la casona de juancho
