City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sungai Padi,TH,6.0851,101.8766,73.49,95,94,2.28,overcast clouds
1,Mahebourg,MU,-20.4081,57.7,70.09,73,20,6.91,few clouds
2,Clyde River,CA,70.4692,-68.5914,25.03,93,100,16.11,overcast clouds
3,Nanortalik,GL,60.1432,-45.2371,36.54,76,100,5.55,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,68.67,66,27,17.81,scattered clouds
5,Bredasdorp,ZA,-34.5322,20.0403,59.02,97,77,2.06,broken clouds
6,Avarua,CK,-21.2078,-159.775,80.65,61,75,17.27,broken clouds
7,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,88,0,14.97,moderate rain
8,Upernavik,GL,72.7868,-56.1549,38.19,92,100,31.45,light rain
9,Barrow,US,71.2906,-156.7887,28.42,80,100,13.8,overcast clouds
10,San Pedro De Macoris,DO,18.4616,-69.2972,80.73,81,10,4.63,clear sky
11,Cheney,US,47.4874,-117.5758,75.13,33,0,5.75,clear sky
12,Saint-Philippe,RE,-21.3585,55.7679,65.79,80,37,7.99,scattered clouds
13,Cherskiy,RU,68.75,161.3,-4.04,96,64,4.16,broken clouds
14,Busselton,AU,-33.65,115.3333,52.66,83,1,4.52,clear sky
15,Port Elizabeth,ZA,-33.918,25.5701,62.89,92,75,5.75,broken clouds
16,Pemberton,CA,50.3164,-122.8027,78.21,31,90,4.0,overcast clouds
17,Butaritari,KI,3.0707,172.7902,81.79,77,23,17.07,light rain
18,Grand Gaube,MU,-20.0064,57.6608,70.2,75,28,1.99,scattered clouds
19,Ushuaia,AR,-54.8,-68.3,46.06,76,100,17.27,overcast clouds
20,Kapaa,US,22.0752,-159.319,84.18,70,0,10.36,clear sky
21,Faanui,PF,-16.4833,-151.75,78.01,78,16,17.07,light rain
22,Haicheng,CN,40.8516,122.7475,38.46,49,0,1.77,clear sky
23,Pipri,IN,19.8,75.5333,72.54,91,100,3.24,light rain
24,Torbay,CA,47.6666,-52.7314,59.77,97,100,6.91,overcast clouds
25,Aksu,CN,41.1231,80.2644,53.6,23,68,2.84,broken clouds
26,Puerto Ayora,EC,-0.7393,-90.3518,67.55,85,84,8.01,broken clouds
27,Albany,US,42.6001,-73.9662,54.95,94,100,1.99,overcast clouds
28,Port Hawkesbury,CA,45.6169,-61.3485,56.03,96,59,4.0,broken clouds
29,Sisimiut,GL,66.9395,-53.6735,40.39,89,100,22.75,light rain
30,Cabo San Lucas,MX,22.8909,-109.9124,83.5,65,40,5.75,scattered clouds
31,Honiara,SB,-9.4333,159.95,86.54,63,28,5.06,scattered clouds
32,Doka,SD,13.5167,35.7667,70.92,86,87,11.05,overcast clouds
33,Ponta Do Sol,PT,32.6667,-17.1,74.01,84,45,12.3,light rain
34,Vaini,TO,-21.2,-175.2,82.56,83,40,9.22,scattered clouds
35,South Yuba City,US,39.1166,-121.6391,80.1,45,0,3.44,clear sky
36,Beloha,MG,-25.1667,45.05,68.04,86,0,11.99,clear sky
37,Punta Arenas,CL,-53.15,-70.9167,50.11,71,75,11.5,broken clouds
38,Hobart,AU,-42.8794,147.3294,58.26,69,75,8.05,broken clouds
39,Flinders,AU,-34.5833,150.8552,63.25,82,97,6.64,overcast clouds
40,Jamestown,US,42.097,-79.2353,42.03,66,75,12.66,broken clouds
41,Faya,SA,18.3851,42.4509,59.11,30,53,4.59,broken clouds
42,Paidha,UG,2.4167,30.9855,58.33,85,74,5.84,broken clouds
43,Tasiilaq,GL,65.6145,-37.6368,32.16,68,99,4.61,overcast clouds
44,Esperance,AU,-33.8667,121.9,59.02,69,33,12.33,scattered clouds
45,Mar Del Plata,AR,-38.0023,-57.5575,58.08,87,0,13.0,clear sky
46,Nhulunbuy,AU,-12.2333,136.7667,84.81,65,75,11.5,broken clouds
47,Ilulissat,GL,69.2167,-51.1,37.42,100,100,5.75,light rain
48,Tomatlan,MX,19.9333,-105.25,81.37,89,78,7.29,moderate rain
49,Hilo,US,19.7297,-155.09,92.28,73,0,10.36,clear sky
50,Khatanga,RU,71.9667,102.5,21.61,97,100,6.78,light snow
51,Mataura,NZ,-46.1927,168.8643,47.8,75,71,8.77,broken clouds
52,Kokopo,PG,-4.352,152.2633,84.02,67,100,1.9,overcast clouds
53,Suluq,LY,31.6682,20.2521,66.13,51,42,12.5,scattered clouds
54,Hamilton,US,39.1834,-84.5333,45.45,46,100,18.41,overcast clouds
55,Bentiu,SS,9.2333,29.8333,71.91,90,100,2.35,overcast clouds
56,Moree,AU,-29.4667,149.85,70.7,63,6,14.47,clear sky
57,Bluff,NZ,-46.6,168.3333,48.97,59,62,25.03,broken clouds
58,Bourail,NC,-21.5667,165.4833,79.95,57,65,7.38,broken clouds
59,Deputatskiy,RU,69.3,139.9,2.97,95,95,6.04,overcast clouds
60,Hasaki,JP,35.7333,140.8333,59.4,86,100,19.8,light rain
61,Port Alfred,ZA,-33.5906,26.891,61.18,93,48,1.01,scattered clouds
62,Dikson,RU,73.5069,80.5464,32.18,98,100,27.83,snow
63,Murgab,TM,37.4966,61.9714,62.47,55,40,6.91,scattered clouds
64,Mosetse,BW,-20.75,26.65,74.37,43,95,17.9,overcast clouds
65,Kupino,RU,54.3663,77.2981,39.43,86,94,12.55,overcast clouds
66,Boca Do Acre,BR,-8.7522,-67.3978,79.95,69,95,2.15,overcast clouds
67,Ikryanoye,RU,46.0932,47.7308,40.98,67,33,3.74,scattered clouds
68,Iqaluit,CA,63.7506,-68.5145,29.93,74,75,13.8,light snow
69,Liuzhou,CN,24.3126,109.3892,65.75,48,87,13.42,overcast clouds
70,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,86,100,8.05,overcast clouds
71,Dicabisagan,PH,17.0818,122.4157,79.75,87,99,3.83,overcast clouds
72,Geraldton,AU,-28.7667,114.6,54.01,87,0,5.75,clear sky
73,Matay,EG,28.419,30.7792,70.59,66,1,11.7,clear sky
74,Victoria,HK,22.2855,114.1577,73.45,70,100,8.99,overcast clouds
75,Tarakan,ID,3.3,117.6333,78.3,94,40,0.0,scattered clouds
76,Sobolevo,RU,54.4299,31.8996,46.42,94,73,6.26,broken clouds
77,Klaksvik,FO,62.2266,-6.589,43.72,80,100,23.42,overcast clouds
78,Richards Bay,ZA,-28.783,32.0377,71.62,89,95,9.15,overcast clouds
